step,loss
0,0.13520562648773193
1,0.13114221394062042
2,0.13135379552841187
3,0.1318761557340622
4,0.12846122682094574
5,0.1279374361038208
6,0.12776288390159607
7,0.12567350268363953
8,0.12281142175197601
9,0.12410620599985123
10,0.1209738478064537
11,0.12215312570333481
12,0.11820343136787415
13,0.11781878769397736
14,0.11789921671152115
15,0.11445940285921097
16,0.11248280853033066
17,0.11240801215171814
18,0.11133713275194168
19,0.10845297574996948
20,0.10809367895126343
21,0.10689472407102585
22,0.10636653006076813
23,0.10547894984483719
24,0.1002105176448822
25,0.09957142919301987
26,0.10056069493293762
27,0.09581974893808365
28,0.09594084322452545
29,0.09531345963478088
30,0.09557534009218216
31,0.08824712038040161
32,0.08949922025203705
33,0.0886593908071518
34,0.08811046928167343
35,0.08478540182113647
36,0.08122856914997101
37,0.0826534703373909
38,0.08212125301361084
39,0.08062125742435455
40,0.07610273361206055
41,0.07534892857074738
42,0.07335740327835083
43,0.07230640947818756
44,0.07382133603096008
45,0.07284128665924072
46,0.06755179166793823
47,0.06687486171722412
48,0.06855112314224243
49,0.06645748764276505
50,0.06651296466588974
51,0.06592296063899994
52,0.0682479739189148
53,0.061605434864759445
54,0.060271263122558594
55,0.06502354145050049
56,0.061777643859386444
57,0.059448592364788055
58,0.058726295828819275
59,0.057241760194301605
60,0.05888191983103752
61,0.05972098559141159
62,0.05341440439224243
63,0.06196358799934387
64,0.06173360347747803
65,0.054624851793050766
66,0.0631067305803299
67,0.05680440738797188
68,0.057814598083496094
69,0.05932379513978958
70,0.060232967138290405
71,0.05785498023033142
72,0.05344081297516823
73,0.05350162833929062
74,0.0566522590816021
75,0.05523161217570305
76,0.05310792848467827
77,0.052240073680877686
78,0.05357523635029793
79,0.05526409670710564
80,0.05344508960843086
81,0.053118713200092316
82,0.0574403814971447
83,0.04998152703046799
84,0.054982736706733704
85,0.050611257553100586
86,0.05100550502538681
87,0.055912308394908905
88,0.054737985134124756
89,0.0544247105717659
90,0.0498136542737484
91,0.05386882275342941
92,0.05691946670413017
93,0.05000004172325134
94,0.052117783576250076
95,0.05162367969751358
96,0.049064330756664276
97,0.04896841570734978
98,0.05069584771990776
99,0.05220629274845123
100,0.04605527222156525
101,0.04767361283302307
102,0.047038719058036804
103,0.04940907657146454
104,0.04762975126504898
105,0.04682513326406479
106,0.04926902800798416
107,0.04574195668101311
108,0.0479993112385273
109,0.04874828830361366
110,0.04795435443520546
111,0.048343878239393234
112,0.048750221729278564
113,0.04502204433083534
114,0.04442445561289787
115,0.04191355034708977
116,0.04723884537816048
117,0.04389423131942749
118,0.04663906246423721
119,0.040755756199359894
120,0.044506896287202835
121,0.04259813576936722
122,0.04025658592581749
123,0.04243408143520355
124,0.042509179562330246
125,0.03924465924501419
126,0.04089841991662979
127,0.03923226147890091
128,0.0432838574051857
129,0.04090266302227974
130,0.040905553847551346
131,0.03976055979728699
132,0.04125435650348663
133,0.04100055247545242
134,0.03689734265208244
135,0.04249257594347
136,0.04204988852143288
137,0.03702744096517563
138,0.034900061786174774
139,0.03742602467536926
140,0.040604233741760254
141,0.039363935589790344
142,0.03857070952653885
143,0.03740590065717697
144,0.03584635257720947
145,0.03646814823150635
146,0.03590620681643486
147,0.036841731518507004
148,0.03684667497873306
149,0.03783067688345909
150,0.03569968044757843
151,0.03374246880412102
152,0.038010068237781525
153,0.03513218089938164
154,0.03739289194345474
155,0.034468065947294235
156,0.03737480565905571
157,0.0344742089509964
