source_file_token,view,slice_id,frame_index,qc_valid,qc_reason,qc_ncc,qc_intensity_scale,qc_residual,rescale_status
,2CH,2ch_s10_7001,46,1,valid,0.9374559302281057,1.0,0.1701494140062109,identity_without_rescale_tags
,2CH,2ch_s10_7001,47,1,valid,0.9564567562970435,1.0,0.14254806172749995,identity_without_rescale_tags
,2CH,2ch_s10_7001,48,1,valid,0.9488707480594323,1.0,0.14472630670895087,identity_without_rescale_tags
,2CH,2ch_s10_7001,49,1,valid,0.955417975036252,1.0,0.14817114601519532,identity_without_rescale_tags
,2CH,2ch_s11_7101,0,1,valid,0.877905379527613,1.0617366807523407,0.24551759652091765,identity_without_rescale_tags
,2CH,2ch_s11_7101,1,1,valid,0.8817295977438923,1.0382513661202186,0.23580258572865465,identity_without_rescale_tags
,2CH,2ch_s11_7101,2,1,valid,0.8975158464974532,1.0303030303030303,0.2217902814532115,identity_without_rescale_tags
,2CH,2ch_s11_7101,3,1,valid,0.9271747099316516,1.0300774957651957,0.18994204384935456,identity_without_rescale_tags
,2CH,2ch_s11_7101,4,1,valid,0.9571292698907409,1.022720977083858,0.14888170919252341,identity_without_rescale_tags
,2CH,2ch_s11_7101,5,1,valid,0.9436628485183789,1.0196078431372548,0.15847826932912382,identity_without_rescale_tags
,2CH,2ch_s11_7101,6,1,valid,0.9308434534077289,1.0155497985031663,0.15832943802346677,identity_without_rescale_tags
,2CH,2ch_s11_7101,7,1,valid,0.9563964728285184,1.0130425636992189,0.14732976508564358,identity_without_rescale_tags
,2CH,2ch_s11_7101,8,1,valid,0.9641779053163829,1.0,0.13286970586836566,identity_without_rescale_tags
,2CH,2ch_s11_7101,9,1,valid,0.9497691465333425,1.0,0.14180870889503389,identity_without_rescale_tags
,2CH,2ch_s11_7101,10,1,valid,0.9555196253519109,1.0,0.12531995365950227,identity_without_rescale_tags
,2CH,2ch_s11_7101,11,1,valid,0.9702094438049891,0.9965835932720375,0.1098872929947823,identity_without_rescale_tags
,2CH,2ch_s11_7101,12,1,valid,0.9719924088093235,0.9969230769230769,0.10428857007373397,identity_without_rescale_tags
,2CH,2ch_s11_7101,13,1,valid,0.9611988166662907,0.9980769159649259,0.12359306267546022,identity_without_rescale_tags
,2CH,2ch_s11_7101,14,1,valid,0.9489249944125725,0.9994520541364509,0.14861205695859203,identity_without_rescale_tags
,2CH,2ch_s11_7101,15,1,valid,0.9479836716462332,0.9937603982547802,0.14908456684073923,identity_without_rescale_tags
,2CH,2ch_s11_7101,16,1,valid,0.936442426689403,1.0,0.16409670097891843,identity_without_rescale_tags
,2CH,2ch_s11_7101,17,1,valid,0.9192352944425309,0.99500499001996,0.18460248308333638,identity_without_rescale_tags
,2CH,2ch_s11_7101,18,1,valid,0.91316499082923,1.0,0.19855384793089603,identity_without_rescale_tags
,2CH,2ch_s11_7101,19,1,valid,0.9329910440444071,0.9957716512908532,0.17353579134483288,identity_without_rescale_tags
,2CH,2ch_s11_7101,20,1,valid,0.9427860221154263,1.0,0.15549133692817974,identity_without_rescale_tags
,2CH,2ch_s11_7101,21,1,valid,0.953318444491206,1.0,0.14163016244667595,identity_without_rescale_tags
,2CH,2ch_s11_7101,22,1,valid,0.9635658328231074,1.0018458734039202,0.13180251791694417,identity_without_rescale_tags
,2CH,2ch_s11_7101,23,1,valid,0.9730853091294156,1.0102237191760524,0.1138564607643689,identity_without_rescale_tags
,2CH,2ch_s11_7101,24,1,valid,0.9539177967255001,1.0,0.1445713582758828,identity_without_rescale_tags
,2CH,2ch_s11_7101,25,1,valid,0.953087640601103,1.0,0.14484056849708296,identity_without_rescale_tags
,2CH,2ch_s11_7101,26,1,valid,0.9571193100516402,1.0,0.141762171866438,identity_without_rescale_tags
,2CH,2ch_s11_7101,27,1,valid,0.9716146119293194,0.9931972789115646,0.11300182023327979,identity_without_rescale_tags
,2CH,2ch_s11_7101,28,1,valid,0.9577449210727824,0.997807006997379,0.12345264074933215,identity_without_rescale_tags
,2CH,2ch_s11_7101,29,1,valid,0.9672864420388336,0.9971846837921168,0.10932167501244999,identity_without_rescale_tags
,2CH,2ch_s11_7101,30,1,valid,0.9642996653441556,0.9964038014580632,0.12493850454012903,identity_without_rescale_tags
,2CH,2ch_s11_7101,31,1,valid,0.9629997960957285,0.9937106918238994,0.12857060641267462,identity_without_rescale_tags
,2CH,2ch_s11_7101,32,1,valid,0.9461000982516795,0.9970993458278118,0.14866627418099526,identity_without_rescale_tags
,2CH,2ch_s11_7101,33,1,valid,0.9399574588365655,0.9981532007775997,0.16366913001162917,identity_without_rescale_tags
